,saliency,display_index,word_length,sentence_length,relative_word_frequency,lemma_polarity,normalized_saliency_rank,word_position,human_importance_rating,capitalization,dependency_relation,sentence_id,worker_id,visualization_condition,condition_order,completion_time_ms
21,0.0259,21,7,3,0.0,0.45588999999999996,1.0,2,1,first_upper,amod,reviews-024306-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,5326
22,0.215,22,6,7,4.78491063238286e-05,0.0,0.2857142857142857,5,6,other,compound,reviews-250878-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,7216
23,0.0331,23,1,6,0.09994524792307666,0.0,0.8333333333333334,6,5,other,punct,reviews-303728-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,8012
24,0.1555,24,5,6,0.0,0.0,0.3333333333333333,4,4,first_upper,compound,reviews-264993-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,7367
25,0.397,25,4,5,0.0003700482071053247,0.74339,0.4,1,5,other,amod,reviews-122564-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,6202
26,0.847,26,6,3,0.0,0.6351100000000001,0.3333333333333333,1,3,first_upper,root,reviews-346074-0002,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,7188
27,0.21933333333000002,27,3,3,0.0,0.0,0.6666666666666666,3,5,other,punct,reviews-351950-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,6360
28,0.122,28,5,6,5.896098409571298e-05,0.2903,0.8333333333333334,5,6,other,amod,reviews-199045-0002,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,7952
29,0.12460999999999998,29,2,5,0.0,0.0,0.6,5,7,other,punct,reviews-139152-0002,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,5342
30,0.19399999999999998,30,6,4,4.4583574896989114e-05,0.00328,0.75,3,5,other,root,reviews-283903-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,4943
31,0.0279,31,4,11,0.0037180645388746095,0.0,0.9090909090909092,7,4,other,nsubj,reviews-214912-0002,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,4551
32,1.0,32,3,1,0.0,0.0,1.0,1,3,all_upper,root,reviews-089136-0003,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,8145
33,0.161,33,1,6,0.0005077750186724901,0.0,0.3333333333333333,6,7,other,punct,reviews-314711-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,5885
34,1.0,34,7,1,0.0,0.71692,1.0,1,5,all_upper,root,reviews-374344-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,6082
35,0.04072,35,13,3,0.0,-0.56077,0.6666666666666666,3,5,first_upper,conj,reviews-245928-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,12774
36,0.141,36,1,4,0.0005077750186724901,0.0,0.5,4,4,other,punct,reviews-030395-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,4340
37,0.0586,37,3,6,0.04855627529615195,0.0,0.8333333333333334,2,3,other,cc,reviews-128808-0004,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,7027
38,0.635,38,6,2,0.0,0.6351100000000001,0.5,1,6,first_upper,root,reviews-192399-0004,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,6095
39,0.1415,39,14,10,0.0,0.0,0.2,9,5,other,obl,reviews-128808-0003,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,18497
40,0.128,40,7,3,0.0006447610383881966,0.0,1.0,3,7,other,root,reviews-384229-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,5325
41,0.0732,41,4,7,0.0032388931565890647,0.0,0.42857142857142855,4,6,other,aux,reviews-061079-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,5696
42,0.0012900000000000001,42,5,5,0.00022382496654795654,0.0,1.0,4,1,other,obj,reviews-341750-0002,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,13343
43,0.0478,43,1,11,0.10789649946520877,0.0,0.5454545454545454,4,4,other,punct,reviews-104703-0003,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,7924
44,0.0162,44,1,6,0.09994524792307666,0.0,1.0,6,4,other,punct,reviews-146820-0003,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,4550
45,0.0451,45,6,11,2.5474168769558042e-05,0.0,0.7272727272727273,4,6,other,nmod,reviews-014764-0003,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,6378
46,0.00464,46,2,8,0.001704320158990259,0.0,1.0,3,5,other,det,reviews-035993-0002,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,5788
47,0.251,47,7,2,0.0006447610383881966,0.0,1.0,2,6,other,root,reviews-163250-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,5302
48,0.255,48,4,6,0.00029373152820400184,0.0,0.3333333333333333,2,4,other,advmod,reviews-335490-0002,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,5444
49,0.0257,49,1,9,0.0,-0.19821,0.7777777777777778,1,6,all_upper,nsubj,reviews-101864-0004,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,saliency,saliency__bars__saliency-corrected,5350
50,0.0707,50,5,6,0.0,0.0,0.8333333333333334,1,1,first_upper,nsubj,reviews-256677-0003,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,13524
51,0.0522,51,1,5,0.03635141206114357,0.041280000000000004,0.8,2,3,other,det,reviews-171255-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,35068
52,0.0026,52,2,11,0.0,0.0,1.0,8,1,first_upper,case,reviews-181696-0003,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,9454
53,0.135,53,6,3,0.0,0.29757,0.6666666666666666,1,5,first_upper,advmod,reviews-107608-0004,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6296
54,0.34700000000000003,54,9,5,8.40874342411168e-05,0.17457999999999999,0.2,2,7,other,case,reviews-210875-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,8066
55,0.63,55,5,5,0.0006918391164584659,0.64445,0.2,3,7,other,amod,reviews-059655-0002,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,5671
56,0.826,56,7,3,0.0,0.71692,0.3333333333333333,1,7,first_upper,amod,reviews-030430-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6008
57,0.01926666666,57,3,4,0.0003718019184271459,0.0,1.0,4,2,other,punct,reviews-083563-0003,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,7700
58,0.0604,58,3,10,0.04855627529615195,0.0,0.6,2,3,other,cc,reviews-014764-0001,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,8475
59,0.00579,59,8,5,0.0,0.0,1.0,3,1,all_upper,compound,reviews-229100-0007,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6754
60,0.114,60,5,9,0.00010342361338430062,0.0,0.4444444444444444,3,3,other,obj,reviews-229100-0003,b0c35e7fbb70b6c92d5b66f992169545b0e4afb21b3b4f28f319dfcc3a0b23e1,bars,saliency__bars__saliency-corrected,6089
