,saliency,display_index,word_length,sentence_length,relative_word_frequency,normalized_saliency_rank,word_position,human_importance_rating,capitalization,dependency_relation,sentence_id,worker_id,completion_time_ms
30,0.015337618274686491,30,1,12,0.08294765726237956,1.0,6,2,other,punct,01097098,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,6639
31,0.9711097345869322,31,6,10,0.0018487729784739614,0.1,4,7,other,advmod,05002015,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3065
32,0.7597899982373975,32,8,15,0.0018494706219042184,0.13333333333333333,6,5,other,case,w01053015,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,9552
33,0.12421445147033605,33,1,12,0.0,0.8333333333333334,10,2,other,punct,02007010,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,5547
34,0.21583515283308152,34,3,12,0.04374771689479338,0.75,10,3,other,cc,w04004045,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3804
35,0.01899654872226786,35,4,8,0.0008504273414832039,1.0,6,1,other,advmod,w01081030,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,5969
36,0.10809244335417699,36,7,15,0.0,0.9333333333333332,9,2,first_upper,flat:name,w01117029,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4984
37,0.37920717859015496,37,6,6,0.001551362217667505,0.5,4,3,other,advmod,w02015088,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3728
38,0.14542858912251688,38,4,7,0.00757148837199235,1.0,5,3,other,case,w01115026,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,5119
39,0.5029352849836652,39,3,5,0.016456281557296837,0.6,2,4,other,det,01118003,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4058
40,0.10802787291331883,40,2,12,0.03782688865537511,1.0,3,2,other,case,01026016,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,5919
41,0.7920180681556466,41,3,17,0.011827220626318156,0.35294117647058826,13,6,other,cc,w01141025,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,7519
42,0.9891898521010292,42,11,9,0.0,0.3333333333333333,5,7,first_upper,flat:name,w02005027,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4504
43,0.5270034028879339,43,3,7,0.009246977455366338,0.5714285714285714,2,5,other,cop,01003013,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3313
44,0.36208962346308415,44,9,8,2.654622693593056e-05,0.5,7,4,other,root,02068015,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3679
45,0.7567957852473609,45,7,12,0.0,0.5833333333333334,10,6,first_upper,nmod,w01134009,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3880
46,0.7292809176058028,46,17,13,0.0,0.4615384615384616,8,6,first_upper,xcomp,05003006,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,5392
47,0.1378265210829719,47,3,6,0.024041043042757157,0.8333333333333334,2,2,other,case,w01142031,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,6177
48,0.09305690785146403,48,3,18,0.0022832438408862806,0.9444444444444444,14,2,other,advmod,01120010,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4263
49,0.7953597918140811,49,6,14,0.0,0.35714285714285715,10,5,first_upper,nsubj:pass,w02002032,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,6906
50,0.5693425532050989,50,1,16,0.0,0.375,13,4,other,punct,w01085007,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,6295
51,0.2439551623285872,51,3,18,0.0133089973838908,0.7222222222222222,4,4,other,cop,01101003,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4402
52,0.7802805863997679,52,1,13,0.11371460906307147,0.2307692307692308,13,5,other,punct,01119017,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,7478
53,0.013776303805787428,53,1,19,0.11371460906307147,1.0,19,1,other,punct,w01112098,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,11535
54,0.32072322376538875,54,1,14,0.005862977499586199,0.7142857142857143,12,3,other,punct,01138026,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,11957
55,0.776312973675364,55,12,18,2.128706876937828e-06,0.16666666666666666,12,5,other,amod,02073024,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,7962
56,0.11920610125025476,56,3,17,0.024041043042757157,0.8823529411764706,4,2,other,case,w01047071,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,6392
57,0.18851795897509935,57,6,16,0.0002649077322737167,0.875,8,3,other,amod,01067014,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,8631
58,0.7825805491672277,58,6,17,8.536293459451524e-05,0.35294117647058826,8,6,other,amod,01106015,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,8160
59,0.0029791766426956467,59,7,13,0.0010074507781702648,1.0,9,1,other,det,05002023,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,5626
60,0.9624422681184812,60,5,16,0.0,0.1875,5,7,first_upper,nmod,01059008,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,17375
61,0.2763329281472666,61,10,6,0.0,0.6666666666666666,6,4,first_upper,nmod,w01070035,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,5316
62,0.726874657665479,62,4,12,0.0,0.16666666666666666,8,6,first_upper,appos,w02018030,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3893
63,0.3249970010993255,63,3,18,0.0024177280282881176,0.7222222222222222,14,4,other,case,01089033,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4929
64,0.595728984467754,64,1,16,0.08294765726237956,0.375,9,5,other,punct,01026004,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4807
65,0.5730890380725906,65,11,9,0.0,0.5555555555555556,7,6,first_upper,nmod,01112012,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,5194
66,0.4147402526334592,66,1,18,0.08294765726237956,0.6111111111111112,11,5,other,punct,w01030095,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4853
67,0.6835068508619404,67,12,15,6.547115268565082e-06,0.2,13,6,other,root,01019004,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3889
68,0.8941180573466927,68,3,15,0.01776996202476373,0.06666666666666668,11,7,other,det,03007003,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,23288
69,0.16551422659909232,69,5,18,0.0,0.8333333333333334,4,3,first_upper,nmod,01063011,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,5879
70,0.9030657915502778,70,1,17,0.11371460906307147,0.05882352941176471,17,7,other,punct,01069023,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,7424
71,0.2490372098147116,71,5,15,6.404008923896994e-06,0.6666666666666666,2,4,other,root,02022015,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,6320
72,0.5260714085307858,72,13,12,1.3058453950963145e-06,0.4166666666666667,10,4,other,acl:relcl,w01033022,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,5786
73,0.05325339031448695,73,1,10,0.11371460906307147,1.0,10,2,other,punct,04003043,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,7694
74,0.7546403671556885,74,4,9,0.0,0.1111111111111111,1,5,first_upper,nsubj,01101017,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4148
75,0.5311307416157072,75,5,17,0.0007317742934602742,0.4117647058823529,3,5,other,det,01032032,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4963
76,0.6795186477405366,76,7,18,2.0034888253532496e-06,0.3888888888888889,17,5,other,root,01113021,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,6449
77,0.20164565738036466,77,2,13,0.0031418997971878995,0.8461538461538461,10,3,other,case,01132006,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3501
78,0.4346624746268879,78,1,10,0.11371460906307147,0.6,10,4,other,punct,01046003,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4293
79,0.41390375804281065,79,4,6,0.0013424627310382618,0.5,3,4,other,aux,01027049,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,5117
80,0.2659028815572844,80,1,17,0.005862977499586199,0.7647058823529411,12,3,other,punct,02069039,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,8024
81,0.7619486265962139,81,1,15,0.11371460906307147,0.3333333333333333,15,5,other,punct,w05005087,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4265
82,0.4541134331792482,82,8,12,7.511294265766335e-05,0.5833333333333334,9,5,other,conj,w02011012,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,16448
83,0.19840165520595246,83,5,8,0.0007317742934602742,0.75,5,3,other,det,01057036,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,6181
84,0.1140426593517092,84,10,14,0.0,1.0,12,2,first_upper,nmod,w01128059,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,9986
85,0.059545535090965274,85,4,13,0.00023578559113376056,1.0,4,1,other,amod,w01029049,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3436
86,0.6652069178817133,86,15,14,0.0,0.5714285714285714,5,6,first_upper,nmod,w01016070,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,5575
87,0.7585272777269583,87,4,15,0.009400137020747363,0.4,10,6,other,obj,01128025,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3798
88,0.4155613906649829,88,6,13,0.0,0.4615384615384616,7,6,first_upper,compound,w02006081,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3431
89,0.7132176790876219,89,6,7,0.0,0.42857142857142855,1,6,first_upper,advmod,02046037,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3768
90,0.5566372448865675,90,11,11,0.0,0.4545454545454545,7,6,first_upper,obl,02075020,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4279
91,0.7395553193822717,91,7,18,0.0,0.3333333333333333,17,6,first_upper,obl,w01073067,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,9335
92,0.523674196678005,92,8,17,0.0,0.35294117647058826,15,5,first_upper,nmod,w01067059,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4315
93,0.4038267422111197,93,6,14,0.0,0.5714285714285714,1,5,first_upper,advmod,w01046011,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4456
94,0.677164760338858,94,6,12,4.686732787879923e-06,0.4166666666666667,7,5,other,advmod,02078004,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,3758
95,0.1820358351350182,95,1,8,0.11371460906307147,0.625,8,3,other,punct,01020004,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,5739
96,0.8285110631857615,96,1,16,0.11371460906307147,0.1875,16,6,other,punct,w01042055,89d5a7aff1593815560022225731545f320a09275c7b6b73d5f378f1a2438e3b,4536
